Время, с;Обороты;Нагрузка (ось карт);Наполнение мгновенное;Дроссель открытие;Впрыск, мс;Мёртвое время форсунки;Обогащение ускорения;Смесь из карты (сырьё);УОЗ сырьё;УОЗ из карты;Поправка угла по детонации, °;Давление, кПа;VE (ДАД);Ktps (ДАД);Коррекция по лямбде;Живая карта;Состояние указателя;УОЗ, градусы;Нагрузка TP;Газ, %;Впрыск расчётный, мс;Загрузка форсунок, %;K форсунок;КМ (ДАД);AFR цель;AFR факт (ШДК);Поправка VE (факт/цель);ФЛАГ Отсечка;ФЛАГ Впрыск разрешён;ФЛАГ Замкнутый цикл;ФЛАГ Крэнк;ФЛАГ Нейтраль;ФЛАГ Холостой ход;ФЛАГ Стартер;ФЛАГ Неисправность TPS;ФЛАГ $0053.08 гейт наката;ФЛАГ $0053.40 гейт наката;ФЛАГ $0053.80 не разобран;АЦП Расходомер/ДАД;АЦП Дроссель;АЦП Напряжение борта;АЦП Температура ОЖ;АЦП Лямбда;АЦП канал 9 (свободный)
32.9;0.0;0;0;0;7.5;95;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.48;;345;128;14.7;15.2;1.034;0;0;0;0;1;1;0;0;0;1;0;16;42;147;79;0;109
33.3;0.0;0;0;0;7.5;94;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.47;;345;128;14.7;16.3;1.109;0;0;0;0;1;1;0;0;0;1;0;16;42;148;79;0;49
33.7;0.0;0;0;0;7.5;95;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.48;;345;128;14.7;16.5;1.122;0;0;0;0;1;1;0;0;0;1;0;16;42;147;79;0;41
34.1;0.0;0;0;0;7.5;95;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.48;;345;128;14.7;16.8;1.143;0;0;0;0;1;1;0;0;0;1;0;16;42;147;79;0;38
34.5;0.0;0;0;0;7.5;94;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.47;;345;128;14.7;14.7;1.0;0;0;0;0;1;1;0;0;0;1;0;16;42;148;79;0;38
34.91;0.0;0;0;0;7.5;95;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.48;;345;128;14.7;15.6;1.061;0;0;0;0;1;1;0;0;0;1;0;16;42;147;79;0;43
35.1;0.0;0;0;0;7.5;94;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.47;;345;128;14.7;17.0;1.156;0;0;0;0;1;1;0;0;0;1;0;16;42;148;79;0;109
35.5;0.0;0;0;0;7.5;95;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.48;;345;128;14.7;15.4;1.048;0;0;0;0;1;1;0;0;0;1;0;16;42;147;79;0;50
35.9;0.0;0;0;0;7.5;95;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.48;;345;128;14.7;17.3;1.177;0;0;0;0;1;1;0;0;0;1;0;16;42;147;79;0;38
36.3;0.0;0;0;0;7.5;95;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.48;;345;128;14.7;15.4;1.048;0;0;0;0;1;1;0;0;0;1;0;16;42;147;79;0;38
